,run,epoch,loss,valid_loss,epoch duration,run duration,lr,batch_size,likelihood_fn,hidden_channels,dropout_rate,linear_model,k
0,1,1,-6.949311183135312,-6.594282621615811,2.6620240211486816,2.665470838546753,0.005,128,gamma,"[100, 100]",0,False,0
1,1,2,-7.004613234584493,-6.625484945840742,2.585466146469116,5.295915842056274,0.005,128,gamma,"[100, 100]",0,False,0
2,1,3,-7.01529726408478,-6.640381038385002,2.5710692405700684,7.913968086242676,0.005,128,gamma,"[100, 100]",0,False,0
3,1,4,-7.015378734671083,-6.610829274317152,2.568502902984619,10.527298927307129,0.005,128,gamma,"[100, 100]",0,False,0
4,1,5,-7.017975785230336,-6.62450829854137,2.623154878616333,13.196204900741577,0.005,128,gamma,"[100, 100]",0,False,0
5,1,6,-7.030649649021321,-6.63332842898212,2.6055397987365723,15.84778380393982,0.005,128,gamma,"[100, 100]",0,False,0
6,1,7,-7.024450549505707,-6.63676963628907,2.6045022010803223,18.49917483329773,0.005,128,gamma,"[100, 100]",0,False,0
7,1,8,-7.019713246732726,-6.624967441747063,2.6436328887939453,21.18826389312744,0.005,128,gamma,"[100, 100]",0,False,0
8,1,9,-7.027357865545087,-6.631207835321364,2.6315219402313232,23.86601495742798,0.005,128,gamma,"[100, 100]",0,False,0
9,1,10,-7.038958219657267,-6.618711508418384,2.614715814590454,26.528104782104492,0.005,128,gamma,"[100, 100]",0,False,0
10,1,11,-7.038744724334631,-6.628096901860676,2.6089820861816406,29.183823823928833,0.005,128,gamma,"[100, 100]",0,False,0
11,1,12,-7.035637237075576,-6.588449992337509,2.6267688274383545,31.85924983024597,0.005,128,gamma,"[100, 100]",0,False,0
12,1,13,-7.023679551325347,-6.638262819498777,2.602426052093506,34.51198983192444,0.005,128,gamma,"[100, 100]",0,False,0
13,1,14,-7.0221478428159445,-6.5842196431599165,2.6014251708984375,37.16307783126831,0.005,128,gamma,"[100, 100]",0,False,0
14,1,15,-7.029971796767156,-6.630469997658541,2.5960519313812256,39.8090558052063,0.005,128,gamma,"[100, 100]",0,False,0
15,1,16,-7.03666315132514,-6.630790909458148,2.6053690910339355,42.46499705314636,0.005,128,gamma,"[100, 100]",0,False,0
16,1,17,-7.045109604982505,-6.5825227731348654,2.6580941677093506,45.17206692695618,0.005,128,gamma,"[100, 100]",0,False,0
17,1,18,-6.9790744203373904,-6.626769065268729,2.614098072052002,47.83917689323425,0.005,128,gamma,"[100, 100]",0,False,0
18,1,19,-7.016455064590712,-6.6371806063934375,2.6289618015289307,50.52104091644287,0.005,128,gamma,"[100, 100]",0,False,0
19,1,20,-6.999755015498714,-6.624326486336558,2.65415096282959,53.22900390625,0.005,128,gamma,"[100, 100]",0,False,0
20,1,21,-7.031316308150614,-6.538680549809023,2.7131729125976562,55.995431900024414,0.005,128,gamma,"[100, 100]",0,False,0
21,1,22,-7.024523442401025,-6.643500611578164,2.6614489555358887,58.709951877593994,0.005,128,gamma,"[100, 100]",0,False,0
22,1,23,-7.043513465644722,-6.638940495487891,2.630472183227539,61.39659094810486,0.005,128,gamma,"[100, 100]",0,False,0
23,1,24,-7.028796300852209,-6.6363945999427845,2.6364638805389404,64.08993673324585,0.005,128,gamma,"[100, 100]",0,False,0
24,1,25,-7.040612187152519,-6.635193187057188,2.6742703914642334,66.81784081459045,0.005,128,gamma,"[100, 100]",0,False,0
25,1,26,-7.025556965542019,-6.630695116167006,2.674497127532959,69.54973101615906,0.005,128,gamma,"[100, 100]",0,False,0
26,1,27,-7.023357637058523,-6.640757507007373,2.667966842651367,72.2744209766388,0.005,128,gamma,"[100, 100]",0,False,0
27,1,28,-6.9986181418250375,-6.597440763621738,2.6593830585479736,74.98998188972473,0.005,128,gamma,"[100, 100]",0,False,0
28,1,29,-7.016356726338093,-6.637530502127974,2.885174036026001,77.93235397338867,0.005,128,gamma,"[100, 100]",0,False,0
29,1,30,-7.029630094094384,-6.638573272349803,2.7732760906219482,80.76449584960938,0.005,128,gamma,"[100, 100]",0,False,0
30,2,1,-7.039686763732233,-6.64139387511567,2.586038112640381,2.5886788368225098,0.005,128,gamma,"[100, 100]",0,False,1
31,2,2,-7.0998321127668715,-6.652745709723274,2.7108068466186523,5.361324071884155,0.005,128,gamma,"[100, 100]",0,False,1
32,2,3,-7.10314529721982,-6.653758198222858,2.683682680130005,8.105286836624146,0.005,128,gamma,"[100, 100]",0,False,1
33,2,4,-7.110704797227806,-6.660090181451515,2.6455399990081787,10.812372922897339,0.005,128,gamma,"[100, 100]",0,False,1
34,2,5,-7.090032912637586,-6.650447613040873,2.632634162902832,13.506906747817993,0.005,128,gamma,"[100, 100]",0,False,1
35,2,6,-7.117317555775152,-6.663517794953097,2.6321239471435547,16.198439836502075,0.005,128,gamma,"[100, 100]",0,False,1
36,2,7,-7.118685491508413,-6.653885436938113,2.6320431232452393,18.894762992858887,0.005,128,gamma,"[100, 100]",0,False,1
37,2,8,-7.119680649766298,-6.6099696131360615,2.7104337215423584,21.666342973709106,0.005,128,gamma,"[100, 100]",0,False,1
38,2,9,-7.12092976079923,-6.661919795426746,2.6648128032684326,24.393638849258423,0.005,128,gamma,"[100, 100]",0,False,1
39,2,10,-7.112496073892183,-6.657603833499371,2.6890921592712402,27.145572900772095,0.005,128,gamma,"[100, 100]",0,False,1
40,2,11,-7.099298719156568,-6.651140485433924,2.699709892272949,29.90935707092285,0.005,128,gamma,"[100, 100]",0,False,1
41,2,12,-7.127414682423957,-6.668707287951603,2.741758108139038,32.71556091308594,0.005,128,gamma,"[100, 100]",0,False,1
42,2,13,-6.387205974186692,-6.660008671699754,2.6776950359344482,35.461891174316406,0.005,128,gamma,"[100, 100]",0,False,1
43,2,14,-7.101597606801541,-6.672809416815738,2.6884119510650635,38.211376905441284,0.005,128,gamma,"[100, 100]",0,False,1
44,2,15,-7.128533259953294,-6.657600544843097,2.680493116378784,40.96560001373291,0.005,128,gamma,"[100, 100]",0,False,1
45,2,16,-7.119722571161306,-6.644410050155332,2.817190170288086,43.84642505645752,0.005,128,gamma,"[100, 100]",0,False,1
46,2,17,-7.112162170900363,-6.609914391232817,2.7549989223480225,46.67022109031677,0.005,128,gamma,"[100, 100]",0,False,1
47,2,18,-7.046053570453251,-6.646472710090996,2.9356348514556885,49.67973613739014,0.005,128,gamma,"[100, 100]",0,False,1
48,2,19,-7.106137349672407,-6.644205046180111,2.9535579681396484,52.70575475692749,0.005,128,gamma,"[100, 100]",0,False,1
